İl,Əhalinin sayı
1897,"112,2"
1913,"334,0"
1926,"527,2"
1939,"808,7"
1959,"967,6"
1970,"1 265,5"
1973,"1 357,3"
1979,"1 549,8"
1980,"1 570,7"
1981,"1 595,0"
1982,"1 615,7"
1983,"1 637,6"
1984,"1 661,1"
1985,"1 692,9"
1986,"1 721,6"
1987,"1 740,7"
1988,"1 771,7"
1989,"1 794,9"
1990,"1 807,8"
1991,"1 762,2"
1992,"1 746,6"
1993,"1 758,4"
1994,"1 764,5"
1995,"1 765,5"
1996,"1 771,0"
1997,"1 779,0"
1998,"1 785,5"
1999,"1 788,9"
2000,"1 806,4"
2001,"1 826,9"
2002,"1 847,5"
2003,"1 868,2  "
2004,"1 889,0"
2005,"1 914,4"
2006,"1 942,5"
2007,"1 972,0"
2008,"2 005,6"
2009,"2 039,4"
2010,"2 064,6"
2011,"2 092,4"
2012,"2 122,3"
2013,"2 150,8"
2014,"2 181,8"
2015,"2 204,2"
2016,"2 225,8"
2017,"2 245,8"
2018,"2 262,6"
2019,"2277,5"
