NAME,LONGITUDE,LATITUDE,OSM_ID,CODE
20 Yanvar,"49° 48' 27.8140"" E","40° 24' 14.9774"" N",1930089762.0,5601.0
28 May,"49° 50' 55.0892"" E","40° 22' 47.5028"" N",5188836356.0,5601.0
Avtovağzal,,,,
Azadlıq prospekti,"49° 50' 34.0350"" E","40° 25' 33.4895"" N",1148914625.0,5601.0
Bakmil,"49° 52' 43.8488"" E","40° 24' 50.7690"" N",670220144.0,5601.0
Dərnəgül,"49° 51' 38.7968"" E","40° 25' 32.4768"" N",1924834867.0,5601.0
Əhmədli,"49° 57' 14.2027"" E","40° 23' 08.0099"" N",670220979.0,5601.0
Elmlər Akademiyası,"49° 48' 55.7410"" E","40° 22' 30.5468"" N",670217100.0,5601.0
Gənclik,"49° 51' 03.4927"" E","40° 23' 59.4118"" N",670219440.0,5601.0
Həzi Aslanov,"49° 57' 13.0248"" E","40° 22' 22.8648"" N",670220993.0,5601.0
İçərişəhər,"49° 49' 53.9234"" E","40° 21' 57.4528"" N",670198805.0,5601.0
İnşaatçılar,"49° 48' 08.4870"" E","40° 23' 20.7366"" N",670217274.0,5601.0
Koroğlu,"49° 55' 10.9880"" E","40° 25' 10.6795"" N",3576383753.0,5601.0
Memar Əcəmi,"49° 48' 48.8070"" E","40° 24' 38.1931"" N",5176509731.0,5601.0
Neftçilər,"49° 56' 33.2452"" E","40° 24' 40.1580"" N",670220410.0,5601.0
Nəriman Nərimanov,"49° 52' 15.7465"" E","40° 24' 10.6729"" N",670219867.0,5601.0
Nəsimi,"49° 49' 34.6073"" E","40° 25' 28.7227"" N",670217698.0,5601.0
Nizami,"49° 49' 48.7927"" E","40° 22' 45.6118"" N",670216818.0,5601.0
Qara Qarayev,"49° 56' 02.2538"" E","40° 25' 03.4025"" N",670220397.0,5601.0
Şah İsmail Xətai,"49° 52' 20.2390"" E","40° 22' 58.7982"" N",670199298.0,5601.0
Sahil,"49° 50' 40.4012"" E","40° 22' 18.2492"" N",670199291.0,5601.0
Ulduz,"49° 53' 29.0339"" E","40° 24' 53.4179"" N",3896778915.0,5601.0
Xalqlar Dostluğu,"49° 57' 10.7510"" E","40° 23' 48.7864"" N",670220733.0,5601.0
